Probe Set ID;Gene Title;Gene Symbol;Probe Position;NCBI;NCBI;Cluster;Correlation to FoxP3;TregSig;IL2ActnoFox;IL2Act;Act;TGFnoFox;TGF;FOXP3rv;ActCD4;ActCD4TGF;ActTreg;ActTregTGF;CTRLrv;FOXP3rv;Ctrlrv;Foxp3rv;sfActCD4;sfActCD4TGF;wtActCD4;wtActCD4TGF;ActCD8;ActCD8TGF;TconvThy;TregThy;TconvLN;TregLN;TconvSpN;TregSpN;TconvSpB;TregSpB;CD4AND;ActCD4AND
1425471_x_at;---;---;---;---;---;1;0.80357651;11.2;1.08;1.31;1.03;2.74;2.25;1.07;368.9;410.9;768.9;694.5;401.6;429.4;345.2;373.4;171.4;469.3;128.6;289.4;584.3;1074.5;60.4;556.8;221.4;1387.2;158.3;1773.7;98;1393.6;23;23.8
1429159_at;RIKEN cDNA 4631408O11 gene;4631408O11Rik;chr2:10204531-10207634 (+) // 74.86 // qA1;66693;66693;4;0.430893833;10.45;3.77;4.81;0.71;0.28;1.09;1.23;1701;1392.4;1792.2;1378.3;1007.4;1243;1350.2;1360.4;410.4;113.7;648;703.5;235.3;32.8;210.1;870.5;120.1;469.4;108.9;1137.6;134.7;1190.4;129;91.1
1443937_at;Expressed sequence AI790276;AI790276;chr15_random:1895932-1896809 (+) // 95.38 // /// chr1;16185;16185;5;0.767304467;10.31;6.53;6.49;2.03;0.76;0.78;1.38;1063;1520.2;1915.8;1387.7;1187.5;1640.5;763.8;1067.6;1708.4;1305;1579.1;1224.1;1366.4;827.5;155.2;1504.8;223.2;1633.3;261.5;2694.7;243.4;2772.6;550.6;1119.3
1459870_x_at;Interleukin 2 receptor| beta chain;Il2rb;chr15_random:1895345-1895455 (+) // 51.43 //;16185;16185;5;0.715590731;10.1;6.19;5.44;1.88;0.75;0.61;1.56;189.3;247.3;393.4;197.9;188.5;294.2;81.8;143.6;435;324.2;384.9;234.7;376.4;195.5;32.1;245.7;92.8;489.4;70.3;710;70.7;594.3;72.8;137
1419334_at;cytotoxic T-lymphocyte-associated protein 4;Ctla4;chr1:61311842-61318650 (+) // 95.06 // qC2;12477;12477;5;0.319913035;9.24;17.58;16.87;3.27;0.54;0.89;2.77;412.1;692.5;1701.4;1143.9;437.7;1211.6;705.8;1172.6;2290.7;1232.4;1472.8;1312.2;1941.9;1630.7;98.4;2445.6;361.2;3589.4;130.3;1204.1;87.3;1452.2;146.1;478
1448759_at;interleukin 2 receptor| beta chain;Il2rb;chr15_random:1880939-1895545 (+) // 99.5 // /// chr15;16185;16185;5;0.651750121;9.23;6.1;6.12;2.72;0.75;0.5;1.65;270;322.3;548.3;302.5;316.9;523.6;170.6;216.2;620.6;465.6;572.9;289.3;465.6;271.9;64.6;241.2;77;458.8;101.8;939.8;93.7;1065.3;141.5;385.4
1457342_at;zinc finger protein| subfamily 1A| 4 (Eos);Zfpn1a4;chr10:128757874-128758362 (-) // 66.89 // qD3;---;---;1;0.754510482;8.63;4.53;3.99;0.11;1.34;2.94;1.17;735.5;2649.2;1886.8;3721.2;626.7;731.7;341.4;490.8;1502.1;2019.2;1142.4;3353.3;361.6;1153;430;2524.3;402.6;2447.3;331.8;2864.7;286.6;2664.8;539;57.9
1439569_at;G protein-coupled receptor 83;Gpr83;chr9:14705977-14706759 (+) // 98.36 // qA2;---;---;1;0.866761267;8.61;0.59;1.88;0.21;1.6;3.88;2.81;461.6;1458;2211.8;2251.6;439;1235.1;351.3;641.4;215.3;343.9;397.5;1543.1;85.8;107;889.4;3137.3;182.1;1574.7;362.4;3118.8;211.2;2508.4;287.4;61.3
1441946_at;inter-alpha (globulin) inhibitor H5;Itih5;chr2:10202633-10202866 (+) // 89.47 // qA1;209378;209378;4;0.503010076;8.05;3.03;3.24;1.16;0.44;1.2;1.15;388.6;326.3;370;297.9;225.1;258.9;254;286.9;110.9;48.3;148.9;178.9;70.5;28.6;58.7;234.7;44.2;123.9;36.6;294.3;46;269.6;20.4;23.7
1452731_x_at;hypothetical protein LOC544988 /// RIKEN cDNA B930046C15 gene /// hypothetical protein LOC545007 /// RIKEN cDNA 2610042L04 gene /// similar to Spetex-2F protein /// similar to Spetex-2H protein /// similar to Spetex-2H protein /// hypothetical protein LOC;LOC544988 /// B930046C15Rik /// LOC545007 /// 2610042L04Rik /// LOC622916 /// LOC622931 /// LOC638853 /// LOC664825 /// LOC666193 /// LOC666329 /// LOC666442 /// LOC666684 /// LOC666772 /// LOC671957;chr14:3249899-3273357 (+) // 97.53 // qA1 /// chr14:3;67055;67055;6;0.556007095;7.9;0.65;0.54;0.33;1.3;0.85;0.92;42.1;33.8;144.8;123;33.1;30.5;52.9;56.8;105.5;137.2;68.4;58.2;85.5;71.2;169.7;1875.2;671.6;2868.9;161.6;1276.4;125.9;1248;474.4;156.3
1437542_at;RIKEN cDNA A730095J18 gene;A730095J18Rik;chr1:69941104-69942346 (-) // 95.7 // qC3;319462;319462;6;0.670012835;7.76;2.17;2.38;0.69;1.37;3.44;1.88;509.9;1632.1;4324.6;4113.3;473.4;890.4;500.4;636.3;1161.6;1594.3;727;2504.5;2667.2;3482;1213.3;5998.4;1577.2;6233.4;535.7;4155;304.9;4245.1;1504.8;1034.5
1438274_at;zinc finger protein| subfamily 1A| 4 (Eos);Zfpn1a4;chr10:128759485-128760369 (-) // 96.97 // qD3;22781;22781;1;0.88526595;7.58;2.33;2.45;0.23;1.38;2.55;1.18;176.8;661;355.7;871.9;140.3;164.9;115.4;128.8;286.1;394.2;252.7;644.4;110.7;271.5;130.5;625.4;112.1;623.1;122.9;931.3;103.1;743;226.3;53
1428301_at;hypothetical protein LOC544988 /// RIKEN cDNA B930046C15 gene /// hypothetical protein LOC545007 /// RIKEN cDNA 2610042L04 gene /// similar to Spetex-2H protein /// similar to Spetex-2H protein /// hypothetical protein LOC664825 /// similar to Spetex-2F p;LOC544988 /// B930046C15Rik /// LOC545007 /// 2610042L04Rik /// LOC622931 /// LOC638853 /// LOC664825 /// LOC666193 /// LOC666329 /// LOC666442 /// LOC666684 /// LOC666740 /// LOC666772 /// LOC666890 /// LOC671957;chr14:3249899-3273357 (+) // 97.53 // qA1 /// chr14:3;67055;67055;6;0.540324361;7.54;0.56;0.48;0.41;1.24;0.97;0.94;92.4;64.3;205.1;201.1;65.4;61.4;88.6;89.6;133.7;166.4;93.5;90.8;134.9;109.3;210.1;2124;880.7;3659.7;238;1795.5;195;1685.9;1384;567.3
1456956_at;zinc finger protein| subfamily 1A| 2 (Helios);Zfpn1a2;chr1:70088434-70089411 (-) // 99.9 // qC3;319462;319462;1;0.507268708;7.15;3.66;3.29;0.41;1.59;3.67;1.74;375.6;1221.2;4481.9;4004.5;377.2;657.3;305.9;453;940.8;1493;550;2017.6;1488.9;2182.1;727.7;4772.6;621;4092.1;257.2;1840;167.4;2039.8;1216.2;501.1
1455265_a_at;regulator of G-protein signaling 16;Rgs16;chr1:153725130-153725423 (+) // 80.89 // qG3;---;---;6;0.742931045;7.11;1.13;4.48;0.43;2.42;0.97;1.53;53.2;127.5;72.5;294.7;42.4;65;54.6;54.4;221.6;537;384.8;374.5;135.9;197.4;66.3;378.6;210.8;689.6;196.6;1398.8;85.9;642.1;90;38.4
1418084_at;neuropilin 1;Nrp1;chr8:127780345-127926905 (+) // 96.14 // qE2;18186;18186;1;0.787498915;7;0.26;0.84;5.18;1.5;7.85;1.49;609.7;2467.5;913.1;2010.1;441.2;656.2;598.9;683.8;74.4;111.5;167.7;1317;262.5;179.2;88;949.3;429.1;2939.4;284.5;1990.3;200.8;1792.6;194.9;1009.5
1448944_at;neuropilin 1;Nrp1;chr8:127780345-127926905 (+) // 96.14 // qE2;18186;18186;1;0.507835256;6.91;1.36;2.64;5.79;1.54;7.53;1.9;547.9;2174.9;949.4;1863.7;408.2;777.5;562.2;731;87.2;133.9;169.5;1275.6;249.5;169.7;80.2;1001.1;420.1;2443.8;64.3;444.5;64.2;822.5;153.9;891.6
1423415_at;G protein-coupled receptor 83;Gpr83;chr9:14696179-14705469 (+) // 97.7 // qA2;14608;14608;1;0.832812263;6.78;0.59;1.42;0.4;1.39;3.87;2.81;305.3;1006.1;1202.4;1367.9;267.2;752.1;237.2;342.4;138.3;191.8;230.6;891.5;70.7;105.4;468.4;1638.2;120.3;739.4;233.6;1583.1;162.1;1234.3;214.3;84.7
1418057_at;T-cell lymphoma invasion and metastasis 1;Tiam1;chr16:90221950-90395667 (-) // 97.32 // qC3.3;21844;21844;6;0.74963053;6.77;3.1;3.81;0.9;0.81;0.49;1.09;789.2;617.7;2206.8;1479;677.5;737.2;605.8;696.2;1230.2;995.5;911.1;448.5;64.4;74.4;347.5;1561.5;649.2;2713.9;397.5;2692.2;238.9;2370;214.2;191.7
1448943_at;neuropilin 1;Nrp1;chr8:127780345-127926905 (+) // 96.14 // qE2;18186;18186;1;0.65527546;6.52;0.58;1.89;4.38;1.61;6.68;1.45;408.1;1558.9;807.5;1531.1;426;619.1;418.6;620.6;74.1;119.2;164.2;1097.5;243.2;159.7;76.7;743.5;304;1699.6;127.6;831.9;87.1;848.2;125.5;550
1434875_a_at;high mobility group nucleosomal binding domain 3;Hmgn3;chr9:83538011-83538303 (-) // 100.0 // qE2;94353;94353;6;0.681510265;6.39;1.42;1.07;2.45;0.94;0.83;1.09;78.6;68.3;231.2;108.8;92.5;100.7;55.6;51.6;99.5;93.6;112.8;93.3;50;65.9;80.1;179.5;183;786;69.9;446.8;105.1;651.9;96.2;235.6
1427040_at;MyoD family inhibitor domain containing;Mdfic;chr6:15554810-15557197 (+) // 98.45 // qA1;16543;16543;4;0.37128388;6.16;6.24;8.55;3.29;1.18;1.21;1.22;1767.9;2065.7;2892.2;1994.9;1911.2;2332.7;1454.6;1628;1754.7;2074.2;1751.9;2125.8;808.5;1511;234.5;1634.1;466;2478.5;281.3;1733.9;204.8;1484.8;164.2;539.9
1447541_s_at;integrin| alpha E| epithelial-associated;Itgae;chr11:72759663-72759995 (+) // 94.89 // qB4;16407;16407;1;0.125858928;6.1;1.97;1.48;1.06;20.34;50.17;3.93;45.5;1833.3;317.9;2266;54.7;215.1;55.6;120.5;103.9;2114.4;73.4;3682.5;922.5;6140.7;51.4;1288.3;70.6;2237.8;52.7;321.6;49.7;215.1;40.2;42.8
1426037_a_at;regulator of G-protein signaling 16;Rgs16;chr1:153720317-153725421 (+) // 99.6 // qG3;---;---;6;0.677842934;5.98;1.61;2.92;0.78;1.62;0.78;1;20;20;20;35.7;20;20;20;20;37.8;61.2;58.3;45.3;22.3;27.8;20;49.6;25.3;66.2;23.4;140;20;58.9;23.7;18.4
1456341_a_at;Kruppel-like factor 9;Klf9;chr19:22414649-22437948 (+) // 65.59 // qB;16601;16601;1;0.703690964;5.8;1.72;1.08;0.59;2.41;1.95;1.3;280.9;349.8;224.9;312.9;151.6;197.3;147.2;175.9;96.1;231.8;121;236.5;210.7;249.9;39.2;150;93.4;503.2;55.8;323.8;112.4;365.2;47.2;27.8
1448233_at;prion protein;Prnp;chr2:131661215-131687447 (+) // 94.95 // qF2;19122;19122;4;0.120860183;5.77;15.02;20.79;1.58;1.72;3.04;1.71;3341;7278.7;4090.3;5149.1;3188.7;5437.1;2179.8;3327.8;1496.8;2569.7;1897.1;5772.8;439.7;1480.8;137;674.6;141.2;453.3;99.6;574.7;91.2;511.4;98.4;155.4
1449310_at;prostaglandin E receptor 2 (subtype EP2);Ptger2;chr14:37638620-37653724 (+) // 98.8 // qB;19217;19217;5;0.307056803;5.65;8.7;6.23;1.66;0.58;0.65;1.64;256.8;180.5;290.7;158;190.7;313.4;234.6;324.7;571.2;330.5;445.9;290.7;213.3;133.2;35.7;294.3;177.9;866.5;65.7;371.2;71.6;329.8;122;202.3
1417601_at;regulator of G-protein signaling 1;Rgs1;chr1:144147062-144151461 (-) // 96.71 // qF;50778;50778;4;0.437157481;5.52;10.77;5.59;2.32;1.01;2.49;1.68;163.3;916;722.2;1549;129.4;216.7;86.6;144.8;1150.1;1166.3;407.1;1011.7;125.4;348.7;30.8;520.2;106;921.3;106.8;589.7;72.8;525.4;74.1;171.9
1434109_at;SH3 domain binding glutamic acid-rich protein like 2;Sh3bgrl2;chr9:83976953-84029091 (+) // 94.86 // qE2;212531;212531;4;0.407345883;5.46;1.57;3.21;0.92;0.73;1.49;1.13;105.5;135.1;149;156.3;115.5;130.2;87;101.8;31.5;22.9;64.1;95.4;20.6;44.5;20;89.2;20;90.3;20;109.2;20;63.4;7.7;7.1
1439361_at;Myosin IXa;Myo9a;chr9:60113390-60113827 (-) // 58.33 // qB;---;---;1;0.574132969;5.45;1.21;1.31;0.5;1.38;2.4;1.19;70.8;158.9;100.2;156.7;90.8;107.6;139.3;138.7;35.4;48.7;46.2;111;95.1;91.9;29.1;244.3;123.7;393.7;29.3;159.6;35.3;176.1;170.6;85
1416558_at;maternal embryonic leucine zipper kinase;Melk;chr4:43545995-43609795 (+) // 98.89 // qB1;17279;17279;4;-0.200457333;5.42;28.15;35.56;6.42;1.34;0.9;0.89;658.4;536.7;919.7;670.9;751.1;668.1;375.6;268.3;719.8;964.9;815.4;737.4;278.8;906.7;114.5;228.1;31;111.7;25.6;138.7;22.9;57.1;75.7;486.1
1449824_at;proteoglycan 4 (megakaryocyte stimulating factor| articular superficial zone protein);Prg4;chr1:150392207-150407937 (-) // 97.59 // qG1;96875;96875;6;0.647133714;5.38;0.57;0.64;1.27;0.97;1.07;0.99;23.7;25.6;28.8;104.3;22;21.7;30.5;23.8;22;21.2;24.7;26.4;26;23.5;24.3;34.8;45.1;375.1;38.4;206.7;38.5;181.8;22.2;28.2
1428284_at;RIKEN cDNA 8430427H17 gene;8430427H17Rik;chr2:153470810-153473792 (-) // 99.43 // qH1;329540;329540;1;0.798052767;5.37;1.75;3.15;0.51;0.74;1.34;1.37;143.2;342.3;319;462.3;170.3;234.1;167.3;196.6;179.8;132.8;193.7;259.6;117.6;113.7;103.7;430.1;59.8;289.2;102.8;551.8;61.6;343.2;100;50.7
1418778_at;coiled-coil domain containing 109B;Ccdc109b;chr3:130453591-130508934 (-) // 99.92 // qG3;66815;66815;6;0.642016503;5.36;2.37;0.87;2.59;1.05;0.75;2.39;43.4;42.5;274.4;126.6;64.2;153.5;45.8;56;71.9;75.5;116.5;87.1;31.8;27;46.1;321.6;98.1;355.4;30.3;162.6;133.7;738.4;84.2;218.1
1422836_at;muscleblind-like 3 (Drosophila);Mbnl3;chrX:43466007-43551917 (-) // 96.17 // qA4;171170;171170;4;0.560836069;5.31;2.46;3.26;3.53;1.16;2.09;0.8;710.5;870.3;2801.9;2304.7;821.6;656.5;556.8;426.6;674.2;783.2;757.7;1580.8;401.7;397.6;270.3;2321.4;168.7;646.9;274.5;1457.4;232.2;1231.6;155.1;548
1420351_at;tumor necrosis factor receptor superfamily| member 4;Tnfrsf4;chr4:153899636-153902554 (+) // 91.97 // qE2;22163;22163;5;0.367057643;5.25;10.58;10.59;0.83;0.57;0.56;1.93;898.8;1328.5;2207.6;1455.1;839.8;1622.9;591.8;925.9;2755;1565.7;2299.6;1296.4;236.9;210.8;330;2717.1;330;2034.4;260.5;1367.9;217.2;1419.4;246.5;203.4
1419208_at;mitogen activated protein kinase kinase kinase 8;Map3k8;chr18:4501820-4523448 (-) // 98.76 // qA1;26410;26410;4;0.234698239;5.22;5.67;8.73;0.74;0.8;1.11;1.53;753.2;1217.3;1507.2;955.4;668.6;1023.1;423.1;624.5;412.1;329.2;469.2;521.3;458.6;381.3;74.8;386.5;88.5;306.1;72.7;379.7;53.8;461.3;167.9;124.8
1419117_at;solute carrier family 22 (organic cation transporter)| member 2;Slc22a2;chr17:11992244-12037072 (+) // 98.59 // qA1;20518;20518;6;0.520856108;5.2;0.9;0.82;0.13;0.95;1.66;0.94;42.3;53.4;57.7;90.4;44.4;41.8;53.9;42.2;50.1;47.5;41.4;68.5;42.4;40.7;59.3;282.3;67.3;168.5;55.8;289.9;50.2;139.6;312.7;40.6
1429918_at;Rho GTPase activating protein 20;Arhgap20;chr9:52012196-52013960 (+) // 97.25 // qA5.3;244867;244867;6;0.368370286;5.12;1;1;0.25;1;1;1;20;20;23.5;64;20;20;20;20;20;20;20;20;20;20;43;414.6;20;63.2;20;102.4;20;85;57.1;14.1
1456509_at;RIKEN cDNA 1110032F04 gene;1110032F04Rik;chr3:69211737-69212398 (+) // 99.7 // qE1;68725;68725;4;0.483216068;5.06;3.65;4.7;0.66;1.5;2.77;1.34;141.5;470;412;808.6;124.3;167.2;118.7;244.1;164.1;246.3;236.9;656.5;105.3;255.6;52.7;351.9;69.7;323.5;45;227.7;50.4;233.9;35.6;23.4
1434909_at;Ras-related GTP binding D;Rragd;chr4:33251336-33253539 (+) // 83.47 // qA5;100146;100146;1;0.473697292;5;2.16;3.62;1.58;2.34;2.35;1.46;368.5;505.8;611.2;949.5;186.7;271.7;231.3;241.6;144.1;337.8;241.3;566.1;84.9;547.5;73.4;225.9;105.9;542.7;66.9;334.6;66.6;325.6;26.4;41.8
1423626_at;dystonin;Dst;chr1:34294930-34591759 (+) // 98.77 // qB;13518;13518;1;0.638723726;4.84;1.81;4.17;0.62;1.04;1.85;1.06;331.1;355.7;327.6;528.4;228.9;242.4;225.2;231.8;146.4;152.3;166.3;308;89;61.9;70.4;294.6;45;405.5;81;392.1;39.8;221;41.5;25.9
1436004_at;ubiquitin specific peptidase 27| X chromosome;Usp27x;chrX:5661569-5662225 (-) // 66.97 // qA1.1;54651;54651;4;0.398577516;4.84;2.31;5.1;0.97;1.42;2.31;1.36;455.5;815.1;831.8;1077.7;295.4;402.4;180.2;232.1;127.4;180.7;218.3;504.8;72.4;99.2;53.5;179;43.7;234.8;55.1;266.7;42.8;227.8;17.8;17.3
1428329_a_at;intraflagellar transport 80 homolog (Chlamydomonas);Ift80;chr3:69232736-69260086 (-) // 65.25 // qE1;68259;68259;6;0.786164742;4.8;0.56;0.57;0.26;1.38;1.52;1.17;127.4;129.4;326.5;203.3;168.9;198;179.8;228;61.4;84.7;80.4;122.1;120.2;208;152.9;361;107.7;322.3;109.4;524.9;141.3;473.6;260.2;67.7
1424923_at;serine (or cysteine) peptidase inhibitor| clade A| member 3G;Serpina3g;chr12:98945725-98954500 (+) // 92.56 // qE;20715;20715;5;-0.045707452;4.73;12.7;18.19;1.5;2.86;0.4;1.68;111.7;155.6;317.8;324.6;153.3;257.7;92.6;106;1135.8;3250.2;1970.8;786.7;435.8;427.9;64.2;397.1;160.8;1312.4;89.5;423.5;108.3;373;70.7;105.7
1415949_at;carboxypeptidase E;Cpe;chr8:63517920-63618096 (-) // 96.85 // qB3.1;12876;12876;4;0.154065196;4.56;9.02;54.4;0.9;0.54;1.28;1.69;1021.9;1393.5;1850.2;1252.1;741.8;1250.1;278.6;578.4;180.4;97.8;1088.1;1390.2;23.2;21;20;41.3;37.6;407.1;20;91.2;20;74.4;9.4;8.5
1454901_at;Hypothetical protein 6430570G24;6430570G24;chr11:86538091-86539232 (-) // 96.12 // qC;327989;327989;6;0.890224367;4.51;0.59;0.49;0.43;0.9;3.3;1.28;40.1;50.2;94.1;113.3;38.9;49.9;48.6;56.4;33.2;29.8;26;85.7;41.1;50.5;64.3;176.2;55.7;137.9;56.5;254.8;53.3;230.4;66.9;29.1
1428484_at;oxysterol binding protein-like 3;Osbpl3;chr6:50246248-50405896 (-) // 97.06 // qB2.3;71720;71720;5;-0.081815933;4.51;7.86;12.18;6.18;0.95;0.71;0.76;850.9;468.1;660.7;310;935;710.5;643.4;487.6;714.2;678;567.5;401.6;558.3;300.1;58.6;448.5;107.7;565.1;90.8;409.3;46.6;266.5;42.5;262.9
1420700_s_at;folate receptor 4 (delta);Folr4;chr9:14735994-14739903 (-) // 93.75 // qA2;64931;64931;6;0.873085874;4.49;0.48;0.56;0.61;1.15;1.84;2.43;187.1;273.6;364.1;267.8;143.8;350;203.1;304;145.4;167.1;187.6;345.2;88.9;99;210.7;312.9;300.2;744.1;300.6;1349.2;333.1;1450.5;262.7;159.7
1449232_at;GATA binding protein 1;Gata1;chrX:6248240-6256835 (-) // 84.19 // qA1.1;14460;14460;4;0.535661475;4.45;1.81;2.38;0.64;1.56;2.7;1.3;617.3;1619.6;1131.8;1425.6;678.9;880.9;415.2;589.3;275.7;430;452.6;1224.1;175.5;243.4;131.4;196.6;140.9;449.9;152.2;676.5;190.3;1002.3;55.6;35.5
1428074_at;transmembrane protein 158;Tmem158;chr9:123267471-123269370 (-) // 93.95 // qF4;72309;72309;1;0.596027503;4.44;1;3.16;0.85;1.2;1.51;0.97;995.1;639.9;877.5;520.8;508;495;231.8;294.8;181.7;218.8;322.6;487.4;137.5;162.9;133.7;398.4;116.1;667.2;182.1;808.1;102.1;520.1;77.6;66.3
1433595_at;---;---;chr4:101516293-101516922 (-) // 95.4 // qC6;---;---;6;0.833923711;4.36;1.75;1.3;1.23;0.74;0.93;1.23;171.7;193.8;308.4;286.6;193;236.5;146;164.1;372.7;276.1;266.4;248.5;176.1;144;216.5;449.4;122.8;322.6;212.8;928.9;205.1;1036.1;146.6;180.1
1449216_at;integrin| alpha E| epithelial-associated;Itgae;chr11:72703137-72760001 (+) // 97.35 // qB4;16407;16407;1;0.113486273;4.35;1.7;1.65;0.64;18.06;41.65;2.93;69.2;1675.9;260.4;2238.3;70.5;206.5;75.8;133.5;104.3;1883;80.8;3365.4;759.5;5510;58.1;923.4;102.6;1818.9;61.5;267.3;49;199.3;60.1;38.6
1434277_a_at;Hypothetical protein 6430570G24;6430570G24;chr11:86538091-86539232 (-) // 96.12 // qC;327989;327989;6;0.874997776;4.31;0.34;0.25;0.45;1.18;4.56;1.25;284.2;383.5;636.5;871.7;250.8;313.7;356.4;406.9;190;224.1;150;683.7;343.8;439.7;521;1338.6;501.5;1177.7;556.3;2399;611.7;1894.7;530.7;240.9
1433169_at;RIKEN cDNA 5830456J23 gene;5830456J23Rik;chr8:80719034-80720279 (+) // 53.05 // qC2;76105;76105;6;0.519345457;4.25;3.42;3.18;0.78;0.6;0.64;1.67;458.2;305.7;590.1;358.9;463.6;772.4;475.8;636.8;646.8;385.4;455.9;291;204.6;403.1;188;469.6;187;1346.9;189.1;803.7;143.5;982.6;385.4;300.7
1420788_at;killer cell lectin-like receptor subfamily G| member 1;Klrg1;chr6:122902393-122914805 (-) // 74.0 // qF2;50928;50928;6;0.402001192;4.15;1.66;1.09;1.39;0.46;0.47;1.74;76.2;64.9;137.4;83.9;138.6;240.8;82.4;73.8;237.1;109.3;145.8;68.6;125.9;74.1;78.4;2060.3;123.8;2464.5;142.9;593.1;134;568.9;106.7;148.5
1418392_a_at;guanylate nucleotide binding protein 4;Gbp4;chr3:143118611-143131797 (+) // 98.86 // qH1;55932;55932;1;0.514578752;4.09;2.01;3.2;4.58;1.33;1.06;1.94;426.9;435.3;2022.5;1558;894.4;1738.8;385.2;764;1238.6;1644.3;1174.8;1250.7;1634.5;1893.2;121.4;779.6;486.6;3520.4;616.9;2520.1;367.7;2129.1;197;903.1
1418203_at;phorbol-12-myristate-13-acetate-induced protein 1;Pmaip1;chr18:66984542-66991529 (+) // 67.03 // qE1;58801;58801;5;0.425623218;4.09;3.02;10.84;4.06;0.9;0.84;0.85;332.1;337.4;722.3;676.5;381.2;325.7;243.4;285.2;689.8;617.9;557.5;467.1;672;503.3;117.8;591.1;48.6;259.9;228.6;934;51.4;386.8;38.1;154.8
