Probe Set ID	Gene Title	Gene Symbol	Probe Position	NCBI	NCBI	Cluster	Correlation to FoxP3	TregSig	IL2ActnoFox	IL2Act	Act	TGFnoFox	TGF	FOXP3rv	ActCD4	ActCD4TGF	ActTreg	ActTregTGF	CTRLrv	FOXP3rv	Ctrlrv	Foxp3rv	sfActCD4	sfActCD4TGF	wtActCD4	wtActCD4TGF	ActCD8	ActCD8TGF	TconvThy	TregThy	TconvLN	TregLN	TconvSpN	TregSpN	TconvSpB	TregSpB	CD4AND	ActCD4AND		TregSig	Fold change of (TregLN, TregSpN, TregSpB)/(TconvLN, TconvSpN, TconvSpB)
1442504_at	DNA segment, Chr 18, ERATO Doi 653, expressed	D18Ertd653e	chr18:68739927-68740730 (+) // 78.29 // qE2	52662	52662	1	0.77	1.8	0.2	0.2	0.5	2.2	4.7	1.1	62	237	85	383	64	69	110	111	40	89	37	176	86	240	144	240	120	252	273	484	221	355	128	67			
1452367_at	coronin, actin binding protein 2A	Coro2a	chr4:45781977-45787882 (-) // 88.67 // qB1	---	---	1	0.76	2.9	1.3	2.6	0.9	1.5	1.0	1.1	231	232	275	250	209	224	155	154	155	227	200	203	119	154	69	275	80	262	116	332	78	315	79	70			
1428289_at	Kruppel-like factor 9	Klf9	chr19:22437999-22441303 (+) // 93.57 // qB	16601	16601	1	0.76	3.1	1.2	1.1	0.7	1.7	1.9	1.3	549	676	464	673	374	476	379	491	276	459	313	593	519	538	203	379	307	834	229	721	282	824	155	104			
1457342_at	zinc finger protein, subfamily 1A, 4 (Eos)	Zfpn1a4	chr10:128757874-128758362 (-) // 66.89 // qD3	---	---	1	0.75	8.6	4.5	4.0	0.1	1.3	2.9	1.2	736	2649	1887	3721	627	732	341	491	1502	2019	1142	3353	362	1153	430	2524	403	2447	332	2865	287	2665	539	58			
1417632_at	ATPase, H+ transporting, lysosomal V0 subunit A1	Atp6v0a1	chr11:100680593-100734842 (+) // 97.73 // qD	11975	11975	1	0.74	1.7	1.2	1.1	0.6	0.9	1.2	1.1	77	104	96	109	89	101	94	98	105	90	92	110	78	82	79	104	82	125	90	153	85	137	79	49			
1459866_x_at	non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human)	Nipa2	chr7:43490554-43490770 (+) // 86.64 // qB3	93790	93790	1	0.73	1.8	1.1	1.2	1.1	1.0	1.3	1.0	327	382	401	489	369	380	384	386	395	410	382	509	335	337	283	318	311	568	353	620	321	504	290	319			
1437829_s_at	eukaryotic elongation factor-2 kinase	Eef2k	chr7:108198844-108199401 (+) // 98.56 // qF1	13631	13631	1	0.72	2.3	1.2	1.1	0.9	1.1	1.1	0.9	138	156	214	244	135	127	114	109	143	152	142	152	136	115	151	314	97	170	121	277	132	218	85	77			
1456341_a_at	Kruppel-like factor 9	Klf9	chr19:22414649-22437948 (+) // 65.59 // qB	16601	16601	1	0.70	5.8	1.7	1.1	0.6	2.4	2.0	1.3	281	350	225	313	152	197	147	176	96	232	121	237	211	250	39	150	93	503	56	324	112	365	47	28			
1423902_s_at	Rho guanine nucleotide exchange factor (GEF) 12	Arhgef12	chr9:43035997-43177505 (-) // 97.43 // qA5.1	69632	69632	1	0.69	2.4	0.7	1.1	0.6	1.1	2.3	1.6	152	579	464	624	221	347	351	414	190	202	178	417	275	691	165	245	214	724	281	680	161	508	198	110			
1459098_at	Dystonin	Dst	chr1:34527684-34528765 (+) // 69.37 // qB	---	---	1	0.68	1.9	1.1	1.5	1.1	1.0	1.3	1.0	64	68	57	87	44	43	38	38	39	38	42	56	31	25	22	50	26	72	36	67	28	54	26	29			
1426994_at	PH domain and leucine rich repeat protein phosphatase	Phlpp	chr1:106347130-106365304 (+) // 96.0 // qE2.1	98432	98432	1	0.68	2.8	0.9	1.3	1.0	1.1	1.0	1.4	157	107	203	138	155	217	152	226	115	132	131	137	154	205	72	184	76	204	128	357	105	331	85	89			
1425570_at	signaling lymphocytic activation molecule family member 1	Slamf1	chr1:171838358-171872592 (+) // 87.94 // qH3	---	---	1	0.67	2.1	1.4	1.9	1.5	0.8	0.9	1.2	503	562	764	528	543	655	444	501	520	409	519	484	332	269	375	688	242	699	372	787	273	638	206	301			
1428643_at	mannoside acetylglucosaminyltransferase 5	Mgat5	chr1:127321723-127324970 (+) // 95.42 // qE3	107895	107895	1	0.66	1.8	0.8	0.7	0.8	2.3	1.8	1.1	155	422	282	412	171	191	149	191	226	513	247	451	228	354	282	658	339	680	295	529	380	592	195	161			
1448943_at	neuropilin 1	Nrp1	chr8:127780345-127926905 (+) // 96.14 // qE2	18186	18186	1	0.66	6.5	0.6	1.9	4.4	1.6	6.7	1.5	408	1559	808	1531	426	619	419	621	74	119	164	1098	243	160	77	744	304	1700	128	832	87	848	126	550			
1426462_at	gephyrin	Gphn	chr12:73910408-73982211 (+) // 88.75 // qC3	268566	268566	1	0.65	2.1	1.1	1.5	1.1	1.3	1.3	1.3	119	212	210	256	116	156	83	123	103	135	146	186	114	112	87	130	79	168	91	192	98	155	71	80			
1449550_at	myosin IC	Myo1c	chr11:75264064-75287197 (+) // 91.84 // qB5	17913	17913	1	0.65	1.8	1.1	1.2	1.0	0.9	1.1	1.2	90	113	109	160	69	82	57	79	71	63	67	77	89	92	53	93	59	109	63	111	57	97	41	42			
1437067_at	putative homeodomain transcription factor 2	Phtf2	chr5:19138208-19139394 (-) // 97.05 // qA3	68770	68770	1	0.64	2.9	1.4	2.5	0.7	1.1	1.4	1.2	459	652	1152	856	498	615	368	487	360	404	532	741	215	189	364	818	357	961	249	734	212	719	274	181			
1423626_at	dystonin	Dst	chr1:34294930-34591759 (+) // 98.77 // qB	13518	13518	1	0.64	4.8	1.8	4.2	0.6	1.0	1.9	1.1	331	356	328	528	229	242	225	232	146	152	166	308	89	62	70	295	45	406	81	392	40	221	42	26			
1454942_at	niban protein	Niban	chr1:151683645-151686079 (+) // 97.55 // qG2	63913	63913	1	0.61	3.9	2.0	2.1	1.4	0.7	2.0	1.4	392	548	628	732	432	582	552	607	345	243	241	492	377	313	68	833	170	983	170	659	113	536	133	188			
1429197_s_at	RAB GTPase activating protein 1-like	Rabgap1l	chr1:160266355-160318951 (-) // 95.67 // qH2.1	78066	78066	1	0.60	2.4	1.0	1.3	1.6	0.9	1.5	1.0	652	881	1001	754	688	657	756	730	351	311	443	669	599	710	211	474	231	612	357	865	341	817	262	411			
1434438_at	SAM domain and HD domain, 1	Samhd1	chr2:157160882-157162442 (-) // 74.54 // qH1	56045	56045	1	0.60	2.0	0.9	0.7	1.5	0.6	1.4	1.2	1789	2184	1975	2132	2389	2916	2438	2828	1935	1090	1419	2026	2944	3918	554	1617	1279	2527	2130	4271	2126	4501	1326	1918			
1428074_at	transmembrane protein 158	Tmem158	chr9:123267471-123269370 (-) // 93.95 // qF4	72309	72309	1	0.60	4.4	1.0	3.2	0.9	1.2	1.5	1.0	995	640	878	521	508	495	232	295	182	219	323	487	138	163	134	398	116	667	182	808	102	520	78	66			
1437506_at	---	---	chr13:101256160-101256850 (+) // 99.42 // qD1	108154	108154	1	0.60	3.3	0.6	0.8	0.5	2.0	5.6	1.6	178	697	423	879	127	206	117	158	61	118	95	536	102	314	114	291	132	408	110	368	126	383	209	96			
1435580_at	RIKEN cDNA C230081A13 gene	C230081A13Rik	chr9:56401307-56402293 (-) // 99.29 // qB	244895	244895	1	0.59	2.4	0.8	0.8	0.9	0.9	1.1	1.4	773	604	800	700	624	867	690	941	466	401	564	622	1349	1047	455	608	598	1108	583	1381	756	1656	508	442			
1438012_at	protein phosphatase 1 (formerly 2C)-like	Ppm1l	chr3:69894263-69895738 (+) // 99.46 // qE1	242083	242083	1	0.58	1.5	0.9	1.2	1.1	1.0	1.6	1.2	136	178	281	338	117	144	131	144	122	124	120	197	141	168	132	226	99	224	133	204	101	176	64	69			
1439361_at	Myosin IXa	Myo9a	chr9:60113390-60113827 (-) // 58.33 // qB	---	---	1	0.57	5.5	1.2	1.3	0.5	1.4	2.4	1.2	71	159	100	157	91	108	139	139	35	49	46	111	95	92	29	244	124	394	29	160	35	176	171	85			
1457915_at	RIKEN cDNA 4833442J19 gene	4833442J19Rik	chr6:149291413-149292093 (+) // 67.79 // qG3	320204	320204	1	0.57	1.6	0.7	0.8	1.0	1.0	1.3	1.2	65	62	64	71	71	87	88	87	42	40	46	61	57	67	43	73	48	88	57	92	60	94	17	16			
1458099_at	---	---	chr12:36189233-36189914 (+) // 100.0 // qA3	---	---	1	0.55	2.8	1.1	1.5	1.0	1.3	1.3	1.3	147	138	111	88	56	71	42	67	44	57	57	72	47	52	63	99	86	233	42	117	38	100	26	26			
1446598_at	Protein kinase C, alpha	Prkca	chr11:107854735-107855377 (-) // 98.76 // qE1	103885	103885	1	0.55	1.8	0.8	1.0	0.8	1.4	1.5	1.3	407	492	599	664	427	535	516	562	230	310	284	428	409	332	459	804	361	794	296	541	273	553	528	431			
1419649_s_at	myosin IC	Myo1c	chr11:75264064-75287197 (+) // 91.84 // qB5	17913	17913	1	0.53	1.9	1.6	1.7	1.6	1.1	1.5	1.1	183	290	263	342	200	218	198	178	213	223	207	305	261	288	117	278	136	252	132	245	125	254	139	216			
1429588_at	RIKEN cDNA 2810474O19 gene	2810474O19Rik	chr6:149487198-149488221 (+) // 72.17 // qG3	77734	77734	1	0.53	1.6	0.5	0.5	1.0	0.8	1.4	1.0	690	499	467	423	812	772	893	975	343	278	286	409	533	717	369	548	426	890	684	1097	554	1161	363	348			
1445148_at	Phospholipase C-like 1	Plcl1	chr1:55817186-55817776 (+) // 17.33 // qC1.2	320281	320281	1	0.52	3.4	3.0	1.4	1.7	0.3	1.3	1.2	28	121	133	293	28	34	25	30	89	28	62	82	28	25	46	100	49	191	30	101	46	110	92	155			
1418392_a_at	guanylate nucleotide binding protein 4	Gbp4	chr3:143118611-143131797 (+) // 98.86 // qH1	55932	55932	1	0.51	4.1	2.0	3.2	4.6	1.3	1.1	1.9	427	435	2023	1558	894	1739	385	764	1239	1644	1175	1251	1635	1893	121	780	487	3520	617	2520	368	2129	197	903			
1448944_at	neuropilin 1	Nrp1	chr8:127780345-127926905 (+) // 96.14 // qE2	18186	18186	1	0.51	6.9	1.4	2.6	5.8	1.5	7.5	1.9	548	2175	949	1864	408	778	562	731	87	134	170	1276	250	170	80	1001	420	2444	64	445	64	823	154	892			
1456956_at	zinc finger protein, subfamily 1A, 2 (Helios)	Zfpn1a2	chr1:70088434-70089411 (-) // 99.9 // qC3	319462	319462	1	0.51	7.2	3.7	3.3	0.4	1.6	3.7	1.7	376	1221	4482	4005	377	657	306	453	941	1493	550	2018	1489	2182	728	4773	621	4092	257	1840	167	2040	1216	501			
1428288_at	Kruppel-like factor 9	Klf9	chr19:22437999-22441303 (+) // 93.57 // qB	70273	70273	1	0.50	2.9	1.8	1.7	0.8	1.8	1.9	1.2	235	280	214	289	178	205	165	209	131	232	152	283	228	231	72	165	119	360	72	209	90	220	77	64			
1457198_at	neuropilin 1	Nrp1	chr8:127786083-127786737 (+) // 88.28 // qE2	---	---	1	0.50	3.0	0.5	0.8	2.5	1.6	8.0	1.5	290	1115	409	1039	210	306	355	410	73	114	111	884	165	148	94	877	419	2894	138	413	147	695	185	458			
1426043_a_at	calpain 3	Capn3	chr2:120245448-120286075 (+) // 99.68 // qE5	12335	12335	1	0.50	3.2	0.7	1.4	0.7	1.1	3.5	1.6	98	275	209	475	130	208	188	294	43	49	85	295	125	83	204	454	69	314	65	204	63	181	59	41			
1428626_at	LysM, putative peptidoglycan-binding, domain containing 2	Lysmd2	chr9:75959709-75971814 (+) // 97.51 // qD	70082	70082	1	0.48	1.9	1.6	1.8	0.8	1.0	1.2	1.0	273	238	305	323	262	251	297	288	339	348	363	424	384	467	238	412	230	498	214	401	199	452	55	41			
1434909_at	Ras-related GTP binding D	Rragd	chr4:33251336-33253539 (+) // 83.47 // qA5	100146	100146	1	0.47	5.0	2.2	3.6	1.6	2.3	2.4	1.5	369	506	611	950	187	272	231	242	144	338	241	566	85	548	73	226	106	543	67	335	67	326	26	42			
1450355_a_at	capping protein (actin filament), gelsolin-like	Capg	chr6:72772813-72791249 (+) // 91.33 // qC1	12332	12332	1	0.47	1.8	2.1	1.2	1.3	1.7	3.5	1.1	116	308	196	240	120	131	80	65	91	151	74	258	40	55	38	151	101	536	44	77	61	211	59	75			
1420895_at	transforming growth factor, beta receptor I	Tgfbr1	chr4:46598350-46660017 (+) // 98.44 // qB1	21812	21812	1	0.45	1.9	1.8	2.3	0.7	1.1	2.0	1.2	908	1568	1906	2592	1044	1241	896	940	1034	1160	1174	2359	785	1066	997	2558	792	2649	581	1110	515	1165	328	221			
1428547_at	5' nucleotidase, ecto	Nt5e	chr9:88809719-88811318 (+) // 82.11 // qE3.1	23959	23959	1	0.44	3.4	0.6	0.9	2.2	6.4	12.6	1.2	97	639	226	554	92	111	74	103	29	186	55	692	97	434	29	122	98	397	53	180	61	197	56	123			
1424112_at	insulin-like growth factor 2 receptor	Igf2r	chr17:12091525-12179328 (-) // 98.1 // qA1	16004	16004	1	0.44	2.1	1.1	1.1	0.7	1.4	3.8	1.0	232	484	433	919	295	290	303	301	225	304	208	794	450	577	422	1360	305	732	205	438	184	438	378	255			
1433735_a_at	transmembrane protein 64	Tmem64	chr4:15193228-15212790 (+) // 90.93 // qA2	100201	100201	1	0.43	2.1	1.3	1.1	0.4	0.6	1.2	1.1	3468	3103	3969	3430	3665	3960	4284	4290	2008	1250	1791	2209	1304	945	1901	2871	1452	3029	1556	3223	1646	3684	1002	414			
1452815_at	purinergic receptor P2Y, G-protein coupled 10	P2ry10	chrX:98493589-98509329 (+) // 98.25 // qD	78826	78826	1	0.42	1.7	1.3	1.9	0.7	0.7	0.9	1.4	834	752	1251	718	967	1342	830	1241	957	645	924	867	1036	1435	413	990	527	1413	719	1204	499	1243	222	162			
1440217_at	similar to hypothetical protein FLJ39743	LOC434197	chr7:55394371-55395511 (+) // 46.36 // qB5	434197	434197	1	0.39	1.7	1.1	0.9	0.4	1.2	1.1	1.0	1210	1282	1122	1190	1328	1315	1479	1730	886	1086	870	959	1453	1528	882	1238	926	1492	785	1361	1003	1910	1633	601			
1434034_at	ceramide kinase	Cerk	chr15:86498763-86504731 (-) // 93.6 // qE2	223753	223753	1	0.39	2.7	1.3	0.8	0.3	1.5	5.4	1.5	108	430	206	565	108	165	112	156	100	155	99	532	324	516	211	286	139	287	79	214	119	208	94	32			
1452583_s_at	galactose mutarotase	Galm	chr17:78675342-78732989 (+) // 90.93 // qE3	319625	319625	1	0.39	2.1	1.4	1.4	0.9	2.7	2.4	1.3	75	135	97	81	89	111	68	92	92	248	105	247	50	94	65	151	88	315	67	140	77	149	63	58			
1423824_at	G protein-coupled receptor 177	Gpr177	chr3:160475579-160572780 (+) // 92.03 // qH4	68151	68151	1	0.38	1.9	1.1	1.1	0.9	1.1	0.9	1.6	50	56	107	86	52	80	51	58	40	45	38	35	63	70	69	89	38	171	35	67	35	65	47	41			
1443354_at	Tripartite motif-containing 59	Trim59	chr3:69379002-69379634 (-) // 72.31 // qE1	---	---	1	0.38	3.8	1.3	1.8	1.3	1.1	1.0	1.0	458	358	493	353	598	614	901	811	322	346	362	347	561	628	185	283	215	460	257	981	200	606	260	324			
1460121_at	RIKEN cDNA 9630010G10 gene	9630010G10Rik	chr17:54708593-54709781 (-) // 59.34 // qC	399612	399612	1	0.38	3.2	3.7	2.8	0.8	1.0	1.7	0.9	238	347	318	370	204	189	228	256	256	265	286	492	439	212	324	851	104	468	69	222	103	317	79	65			
1427202_at	RIKEN cDNA 4833442J19 gene	4833442J19Rik	chr6:149297314-149298139 (+) // 74.22 // qG3	30888	30888	1	0.38	2.1	0.6	0.9	0.8	0.6	1.8	1.1	794	663	472	547	887	997	1260	1232	258	160	286	525	667	806	185	523	368	876	412	882	334	1076	138	110			
1444064_at	SAM domain and HD domain, 1	Samhd1	chr2:157166691-157167710 (-) // 23.51 // qH1	56045	56045	1	0.38	1.5	0.9	0.6	1.0	0.5	1.8	1.4	132	133	124	140	129	178	159	230	131	70	68	120	203	303	39	143	183	341	143	217	114	214	135	128			
1426818_at	arrestin domain containing 4	Arrdc4	chr7:55772107-55773171 (-) // 94.39 // qC	---	---	1	0.36	1.6	1.2	1.4	0.7	0.9	1.4	1.1	58	89	65	85	73	82	80	92	82	70	71	99	91	159	63	70	51	119	70	108	52	89	29	21			
1429196_at	RAB GTPase activating protein 1-like	Rabgap1l	chr1:160266355-160318951 (-) // 95.67 // qH2.1	78066	78066	1	0.36	2.5	1.5	1.9	1.2	0.9	1.7	1.0	982	1266	1460	1224	902	934	1143	973	484	454	511	861	1004	1154	544	937	591	1221	327	805	265	686	444	526			
1427515_at	RIKEN cDNA A530088I07 gene	A530088I07Rik	chr5:19565790-19631662 (+) // 78.08 // qA3	212167	212167	1	0.34	1.7	0.7	1.3	0.8	1.2	1.2	0.8	167	181	187	244	228	181	237	217	98	116	108	133	247	185	166	375	133	201	149	247	82	167	112	86			
1423350_at	suppressor of cytokine signaling 5	Socs5	chr17:85705861-85735778 (+) // 97.39 // qE4	56468	56468	1	0.34	1.9	1.5	2.2	0.7	1.4	1.5	1.3	201	283	282	244	207	267	179	244	236	337	240	349	340	389	173	311	165	330	163	301	107	207	71	50			
1424067_at	intercellular adhesion molecule	Icam1	chr9:20942091-20961612 (+) // 97.95 // qA3	15894	15894	1	0.34	1.7	1.2	1.7	1.3	1.5	1.0	1.8	445	808	773	800	426	767	403	622	574	859	569	546	1179	1164	329	574	421	904	499	825	333	778	233	302			
1441657_at	BTB and CNC homology 2	Bach2	chr4:32471877-32472461 (+) // 95.86 // qA5	---	---	1	0.33	0.6	0.2	0.3	0.4	0.7	2.7	1.5	181	545	355	558	155	234	162	205	57	42	82	223	83	69	149	120	235	104	299	190	280	178	105	40			
1455297_at	spindlin family, member 2	Spin2	chrX:143719772-143721705 (+) // 99.85 // qF3	278240	278240	1	0.32	1.7	1.2	1.4	0.4	2.3	4.8	1.4	213	729	198	872	188	271	187	197	148	337	183	875	200	645	161	196	218	472	125	212	128	230	118	52			
1422603_at	ribonuclease, RNase A family 4	Rnase4	chr14:43784544-43799011 (+) // 82.45 // qC1	58809	58809	1	0.32	2.2	1.4	1.2	1.7	1.3	4.7	1.0	95	150	109	179	89	92	93	102	131	172	68	318	156	265	53	200	71	228	95	206	56	98	37	61			
1422010_at	toll-like receptor 7	Tlr7	chrX:157417593-157443223 (-) // 97.49 // qF5	170743	170743	1	0.29	1.6	0.8	0.9	0.6	1.9	1.4	1.1	38	41	54	62	51	54	45	56	35	65	37	53	43	171	60	76	46	92	43	69	42	91	33	21			
1423686_a_at	proline rich 13	Prr13	chr15:102940848-102944417 (+) // 88.92 // qF3	66151	66151	1	0.26	1.6	1.3	1.2	1.8	1.0	1.5	0.9	1404	1867	2016	1997	1644	1535	1483	1439	1611	1523	1208	1788	1936	2138	336	1046	1150	1746	1279	1978	973	1620	1110	2029			
1429184_at	GTPase, very large interferon inducible 1	Gvin1	chr7:93423844-93773629 (-) // 64.25 // qE2 /// chr7:9	74558	74558	1	0.25	1.7	1.6	3.1	2.3	1.4	1.3	1.1	2020	2200	2114	2344	2744	2879	1961	2110	2529	3643	2183	2753	3157	4697	569	1071	1500	4500	1553	2558	707	3158	653	1471			
1427736_a_at	chemokine (C-C motif) receptor-like 2	Ccrl2	chr9:111059893-111061882 (-) // 96.28 // qF3	54199	54199	1	0.25	2.1	1.8	1.5	0.7	0.6	0.8	1.7	152	89	192	127	159	264	137	194	171	106	151	114	186	219	72	189	74	189	95	204	103	173	67	49			
1436614_at	expressed sequence AI843639	AI843639	chr18:57275130-57275598 (-) // 89.19 // qD3	---	---	1	0.21	1.9	0.3	0.7	0.6	4.2	1.6	1.5	276	168	260	225	242	356	258	447	83	349	155	239	556	1274	60	254	344	1438	307	578	213	365	111	64			
1442445_at	RIKEN cDNA 2610027H17 gene	2610027H17Rik	chr14:70495111-70495578 (-) // 87.11 // qD3	71811	71811	1	0.20	1.6	0.8	1.5	2.7	3.0	4.3	0.8	165	193	292	299	164	126	230	186	128	380	149	640	416	453	151	232	187	428	154	250	103	174	54	143			
1445452_at	Tnf receptor-associated factor 1	Traf1	chr2:34917537-34918153 (-) // 92.22 // qB	22029	22029	1	0.17	2.7	1.1	0.7	0.6	1.1	2.3	1.3	180	203	306	230	209	269	283	335	115	129	90	206	565	640	179	309	279	489	102	270	131	296	219	131			
1437110_at	RIKEN cDNA 2810474O19 gene	2810474O19Rik	chr6:149462258-149481131 (+) // 95.36 // qG3	67246	67246	1	0.15	1.6	0.9	0.9	0.6	1.0	2.3	1.1	2488	1930	1621	1727	2561	2742	3989	3710	1002	984	704	1593	2452	3241	1897	3257	1817	3740	1085	1724	784	2138	1189	723			
1447541_s_at	integrin, alpha E, epithelial-associated	Itgae	chr11:72759663-72759995 (+) // 94.89 // qB4	16407	16407	1	0.13	6.1	2.0	1.5	1.1	20.3	50.2	3.9	46	1833	318	2266	55	215	56	121	104	2114	73	3683	923	6141	51	1288	71	2238	53	322	50	215	40	43			
1449216_at	integrin, alpha E, epithelial-associated	Itgae	chr11:72703137-72760001 (+) // 97.35 // qB4	16407	16407	1	0.11	4.4	1.7	1.7	0.6	18.1	41.7	2.9	69	1676	260	2238	71	207	76	134	104	1883	81	3365	760	5510	58	923	103	1819	62	267	49	199	60	39			
1433741_at	CD38 antigen	Cd38	chr5:42522774-42524029 (+) // 71.86 // qB3	12494	12494	1	0.10	2.8	2.6	2.1	0.8	4.1	8.9	1.9	66	348	224	685	108	202	79	118	244	1000	143	1271	599	1155	83	365	177	520	93	260	69	256	227	169			
1428393_at	neuritin 1	Nrn1	chr13:36167278-36176244 (-) // 90.37 // qA3.3	68404	68404	1	-0.03	2.2	1.0	2.1	0.5	0.9	0.6	3.1	410	148	450	172	350	1079	279	617	130	112	277	151	169	110	120	218	178	428	126	274	132	230	232	107			
